ticker,name,industry,marketCap
A,"Agilent Technologies, Inc.",Diagnostics & Research,35321013869
AA,Alcoa Corporation,Aluminum,15950690203
AACB,Artius II Acquisition Inc.,Shell Companies,287000820
AACG,ATA Creativity Global,Education & Training Services,38454209
AAL,American Airlines Group Inc.,Airlines,9277230174
AAME,Atlantic American Corporation,Insurance - Life,53440737
AAMI,Acadian Asset Management Inc.,Asset Management,1867944067
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,3003632273
AAON,"AAON, Inc.",Building Products & Equipment,8284331988
AAP,"Advance Auto Parts, Inc.",Auto Parts,3494495104
AAPG,Ascentage Pharma Group International,Biotechnology,2183713494
AAPL,Apple Inc.,Consumer Electronics,3842494772200
AARD,"Aardvark Therapeutics, Inc.",Biotechnology,267158047
AAT,"American Assets Trust, Inc.",REIT - Diversified,1415697632
AAUC,Allied Gold Corporation,Gold,3952805705
AB,AllianceBernstein Holding L.P.,Asset Management,3739362551
ABAT,American Battery Technology Company,Waste Management,497860946
ABBV,AbbVie Inc.,Drug Manufacturers - General,402080003780
ABCB,Ameris Bancorp,Banks - Regional,5638433787
ABCL,AbCellera Biologics Inc.,Biotechnology,880045041
ABEO,Abeona Therapeutics Inc.,Biotechnology,270685848
ABEV,Ambev S.A.,Beverages - Brewers,47404111791
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,4550257005
ABLV,Able View Global Inc.,Specialty Retail,40499736
ABM,ABM Industries Incorporated,Specialty Business Services,2614116030
ABNB,"Airbnb, Inc.",Travel Services,70312317706
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,144770486
ABP,"Abpro Holdings, Inc.",Biotechnology,2251794
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,1572182218
ABSI,Absci Corporation,Biotechnology,363899105
ABT,Abbott Laboratories,Medical Devices,193827834006
ABTC,American Bitcoin Corp.,Capital Markets,1071383768
ABTS,Abits Group Inc.,Capital Markets,6801886
ABUS,Arbutus Biopharma Corporation,Biotechnology,771219308
ABVC,"ABVC BioPharma, Inc.",Biotechnology,41237332
ABVE,Above Food Ingredients Inc.,Packaged Foods,83442712
ABVX,ABIVAX Soci̩t̩ Anonyme,Biotechnology,9605229581
ABX,"Abacus Global Management, Inc.",Insurance - Life,810371168
ACA,"Arcosa, Inc.",Engineering & Construction,6214985568
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,3656019065
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,196131080
ACCL,Acco Group Holdings Limited,Consulting Services,19529860
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,365952700
ACCS,ACCESS Newswire Inc.,Advertising Agencies,27391288
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,957712914
ACEL,"Accel Entertainment, Inc.",Gambling,899477896
ACET,"Adicet Bio, Inc.",Biotechnology,68116502
ACFN,"Acorn Energy, Inc.",Scientific & Technical Instruments,45358777
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,35693525181
ACH,"Accendra Health, Inc.",Medical Distribution,176241720
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,1465982258
ACHR,Archer Aviation Inc.,Aerospace & Defense,4952318831
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,219856370
ACI,"Albertsons Companies, Inc.",Grocery Stores,9214462260
ACIC,American Coastal Insurance Corporation,Insurance - Property & Casualty,539831893
ACIU,AC Immune SA,Biotechnology,287924514
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,4052904956
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,2779505659
ACLX,"Arcellx, Inc.",Biotechnology,3971853009
ACM,AECOM,Engineering & Construction,11426528589
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,4158580509
ACN,Accenture plc,Information Technology Services,136628864726
ACNB,ACNB Corporation,Banks - Regional,542468727
ACNT,Ascent Industries Co.,Chemicals,166026000
ACOG,Alpha Cognition Inc.,Biotechnology,115233151
ACON,"Aclarion, Inc.",Health Information Services,2212821
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,128358384
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,291950124
ACRS,"Aclaris Therapeutics, Inc.",Biotechnology,365123455
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,49857099
ACT,"Enact Holdings, Inc.",Insurance - Specialty,6312982933
ACTG,Acacia Research Corporation,Business Equipment & Supplies,382947701
ACTU,"Actuate Therapeutics, Inc.",Biotechnology,98784144
ACU,Acme United Corporation,Household & Personal Products,168028797
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,1120834675
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,4838762
AD,"Array Digital Infrastructure, Inc.",Telecom Services,4367372800
ADAC,American Drive Acquisition Company,Shell Companies,284050000
ADAG,Adagene Inc.,Biotechnology,134324117
ADAM,"Adamas Trust, Inc.",REIT - Mortgage,727880675
ADBE,Adobe Inc.,Software - Application,107756250000
ADC,Agree Realty Corporation,REIT - Retail,9203607860
ADCT,ADC Therapeutics SA,Biotechnology,497985986
ADEA,Adeia Inc.,Software - Application,2008416903
ADGM,"Adagio Medical Holdings, Inc.",Medical Devices,21603230
ADI,"Analog Devices, Inc.",Semiconductors,161911971239
ADIL,"Adial Pharmaceuticals, Inc.",Biotechnology,3177946
ADM,Archer-Daniels-Midland Company,Farm Products,33399596583
ADMA,"ADMA Biologics, Inc.",Biotechnology,3710385156
ADNT,Adient plc,Auto Parts,2058020933
ADP,"Automatic Data Processing, Inc.",Software - Application,84539210665
ADPT,Adaptive Biotechnologies Corporation,Biotechnology,2389732156
ADSE,ADS-TEC Energy PLC,Electrical Equipment & Parts,606041175
ADSK,"Autodesk, Inc.",Software - Application,47287251217
ADT,ADT Inc.,Security & Protection Services,6211917677
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,793748710
ADTX,"Aditxt, Inc.",Biotechnology,1225811
ADUR,Aduro Clean Technologies Inc.,Pollution & Treatment Controls,382794883
ADUS,Addus HomeCare Corporation,Medical Care Facilities,2048270133
ADV,Advantage Solutions Inc.,Advertising Agencies,199895894
ADVB,Advanced Biomed Inc.,Diagnostics & Research,6481544
ADXN,Addex Therapeutics Ltd,Biotechnology,7578725
AEAQ,Activate Energy Acquisition Corp.,Shell Companies,309704020
AEBI,Aebi Schmidt Holding AG,Farm & Heavy Construction Machinery,1151417613
AEC,Anfield Energy Inc.,Uranium,116529650
AEE,Ameren Corporation,Utilities - Regulated Electric,30221576000
AEG,Aegon Ltd.,Insurance - Diversified,11499058320
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,6381726
AEHR,"Aehr Test Systems, Inc.",Semiconductor Equipment & Materials,854196568
AEI,Alset Inc.,Real Estate - Development,96719283
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,11812450783
AEM,Agnico Eagle Mines Limited,Gold,103024974988
AEMD,"Aethlon Medical, Inc.",Medical Devices,1926962
AENT,Alliance Entertainment Holding Corporation,Entertainment,325108021
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,4159824627
AEON,"AEON Biopharma, Inc.",Biotechnology,24003746
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,67525571428
AER,AerCap Holdings N.V.,Rental & Leasing Services,24046599374
AERO,"Grupo Aerom̩xico, S.A.B. de C.V.",Airlines,2699213067
AERT,"Aeries Technology, Inc",Consulting Services,23243946
AES,The AES Corporation,Utilities - Diversified,11536359293
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,1389840126
AEVA,"Aeva Technologies, Inc.",Software - Infrastructure,770825220
AEXA,American Exceptionalism Acquisition Corp. A,Shell Companies,555938425
AEYE,"AudioEye, Inc.",Software - Application,82459617
